Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),pH(pH:pH),Temperature(T:K)
166.0,75,100,80,0.0,27.173,63.925,1.7427,400,0.9,7.9105,12.577,19.949,6.4947,297.88
172.8,75,100,80,0.0,73.334,22.238,91.647,150,0.9,0.0012644,11.732,25.499,6.4988,298.06
152.2,75,100,90,0.0,40.247,14.487,2.7624,0,0.9,0.00065849,11.686,22.665,6.4513,297.95
198.0,75,100,80,0.0,44.769,70.12,11.315,150,0.9,0.0010874,12.288,26.319,6.5188,297.95
26.0,55,100,30,0.0,12.337,504.04,4.0326,0,0.8,0.0028712,12.791,0.20897,6.448,298.58
190.8,75,100,80,0.0,6.0689,31.894,0.80714,150,0.9,0.0014078,11.118,26.631,6.5221,297.92
159.6,75,100,75,0.0,0.0,2.9812,0.0001,0,0.9,0.58343,5.799,20.246,6.5158,297.86
119.2,75,100,90,0.0,81.239,8.9328,0.0001,100,1.0,0.00097176,11.936,17.389,6.4951,297.99
230.0,65,100,80,0.0,61.952,8.5486,102.49,250,0.9,0.0015064,12.209,30.825,6.5082,298.04
36.2,55,100,47,0.0,46.506,125.27,0.0001,0,0.9,0.0028372,11.401,1.7088,6.4934,298.0
145.6,75,100,90,0.0,42.483,17.698,0.7123,100,1.0,0.00075102,11.839,21.632,6.4924,297.89
126.2,75,100,90,0.0,33.583,1.6812,20.195,100,1.0,0.00066148,13.914,18.193,6.4975,297.96
9.0,42,100,15,0.0,33.833,85.088,0.0001,0,0.6,2.532,12.982,0.00097585,6.4948,298.12
127.8,75,100,90,0.0,78.589,1.2476,26.612,100,1.0,0.00077586,12.274,22.132,6.5052,297.97
89.8,60,100,90,0.0,77.507,18.433,0.0001,100,1.1,0.0010159,14.706,13.565,6.4891,297.99
38.6,55,100,47,0.0,37.047,434.51,28.332,0,0.9,0.002418,11.34,2.465,6.502,298.92
199.6,75,100,80,0.0,225.0,0.073198,64.616,150,0.9,0.0013642,12.327,27.019,6.5135,297.96
10.8,42,100,15,0.0,51.414,216.3,0.0001,0,0.6,1.2304,11.749,0.00097066,6.4983,298.19
130.0,75,100,90,0.0,43.707,0.83295,20.578,100,1.0,0.00083488,12.128,20.126,6.5029,297.98
42.4,60,100,51,0.0,47.302,141.35,0.0001,0,1.1,0.0023348,13.309,2.8542,6.5011,298.04
236.0,65,100,105,0.0,8.8542,163.32,3.0648,250,0.9,72.45,14.226,6.8879,6.5132,297.91
190.0,75,100,105,0.0,53.703,24.036,6.5728,150,0.9,0.0011332,11.501,31.885,6.5207,297.88
113.0,75,100,90,0.0,81.854,76.934,0.067324,100,1.0,0.0010878,11.238,15.494,6.5027,298.09
104.2,75,100,90,0.0,3.6788,17.694,83.828,100,1.0,9.636,14.873,7.9356,6.4842,298.05
3.4,30,100,15,0.0,34.626,29.193,0.2902,0,0.6,1.6944,14.382,0.0009907,6.5086,297.99
219.8,65,100,80,0.0,37.245,31.944,7.1528,250,0.9,0.0013574,13.126,28.698,6.5035,297.89
125.0,75,100,90,0.0,47.522,5.8679,0.0001,100,1.0,0.0010661,12.103,19.159,6.4925,297.99
194.6,75,100,80,0.0,70.32,10.981,61.521,150,0.9,0.0015909,11.514,25.291,6.4665,297.95
59.4,60,100,72,0.0,80.194,43.011,0.0001,500,1.1,0.0015999,14.398,6.1679,6.507,298.0
80.8,60,100,90,0.0,162.91,2.0,0.0001,100,1.1,0.0012086,15.376,11.17,6.5324,300.92
156.2,75,100,75,0.0,94.845,50.323,6.5761,0,0.9,0.00098477,11.504,25.579,6.5272,298.0
20.2,55,100,150,0.0,47.924,213.12,0.0001,0,0.7,0.042424,10.484,0.00094032,6.472,298.21
115.8,75,100,90,0.0,140.73,4.8906,0.0001,100,1.0,0.0011822,12.608,16.122,6.5152,298.01
56.2,60,100,72,0.0,76.183,36.371,0.0001,500,1.1,0.0022089,13.398,5.6785,6.4915,298.01
219.4,65,100,80,0.0,12.542,0.72238,70.432,250,0.9,27.281,13.1,17.63,6.5039,297.97
149.2,75,100,90,0.0,73.729,5.7614,56.793,100,1.0,0.00074148,12.133,22.023,6.5023,298.01
107.4,75,100,90,0.0,68.563,301.16,2.4574,100,1.0,0.0014128,12.264,14.743,6.5064,298.51
15.6,42,100,30,0.0,36.776,94.518,0.0001,0,0.7,0.010541,13.237,0.00095563,6.4847,298.01
163.8,75,100,80,0.0,49.103,57.039,9.7108,400,0.9,0.00083911,13.238,24.212,6.5134,297.96
193.4,75,100,80,0.0,55.807,44.929,1.0773,150,0.9,0.001426,11.635,27.611,6.5253,297.9
128.2,75,100,90,0.0,79.034,18.406,4.0505,100,1.0,0.00056453,11.925,19.46,6.5137,297.93
192.0,75,100,80,0.0,75.253,53.199,7.5857,150,0.9,0.0016525,10.621,27.266,6.4554,297.97
185.4,75,100,80,0.0,6.2764,16.733,129.92,150,0.9,9.0837,13.233,21.756,6.4947,298.17
182.4,75,100,60,0.0,31.823,33.28,0.86553,150,0.9,1.3603,13.228,25.399,6.5136,297.91
205.8,65,100,80,0.0,35.018,37.431,6.7229,250,0.9,0.0015057,11.572,30.584,6.5024,297.88
25.2,55,100,30,0.5179,107.44,148.01,0.21485,0,0.8,0.0025135,12.375,0.14253,6.5716,297.95
206.2,65,100,80,0.0,84.927,54.985,1.327,250,0.9,0.001407,11.591,27.074,6.5038,297.93
138.4,75,100,90,0.0,75.822,6.8226,0.0001,100,1.0,0.0011932,10.531,23.849,6.5057,297.97
133.2,75,100,90,0.0,59.941,0.0001,0.0001,100,1.0,0.0013034,5.8497,18.69,6.5085,297.97
70.6,60,100,84,0.0,72.217,3.5926,0.0001,500,1.1,0.0017755,14.56,5.4503,6.5109,297.99
73.8,60,100,90,0.0,137.09,16.325,0.0001,500,1.1,0.0017115,14.708,9.4735,6.4997,298.02
95.2,75,100,90,0.0,56.12,9.5009,0.0001,100,1.1,0.00081309,14.234,12.856,6.5037,297.98
30.6,55,100,37,0.0,58.33,92.047,0.0001,0,0.9,0.0025333,12.14,0.9344,6.5148,297.99
126.0,75,100,90,0.0,61.275,0.0001,0.0001,100,1.0,0.00081036,11.181,20.39,6.5002,297.96
150.8,75,100,90,0.0,10.0,39.007,5.0361,0,0.9,0.00067063,11.003,24.728,5.7956,297.97
106.8,75,100,90,0.0,48.976,33.027,0.0001,100,1.0,0.0010504,14.229,14.991,6.4888,297.99
26.6,55,100,30,0.0,76.396,114.63,0.00015298,0,0.8,0.0026752,12.171,0.30359,6.4654,297.99
4.2,30,100,15,0.0,10.917,23.29,0.0001,0,0.6,1.6595,14.15,0.0009897,6.4794,298.0
50.2,60,100,61,0.0,68.139,118.49,0.0001,500,1.1,0.0022527,13.051,4.3438,6.4996,297.89
218.8,65,100,105,0.0,3.5655,12.726,130.04,250,0.9,46.366,14.525,17.258,6.5074,298.1
1.8,30,100,8,0.0,22.099,68.558,0.81507,0,0.6,1.2878,14.417,0.00099612,6.4902,297.98
100.4,75,100,90,0.0,124.49,19.171,0.0001,100,1.0,0.0011264,13.108,15.249,6.5755,297.98
4.2,30,100,15,0.0,26.764,13.296,0.0001,0,0.6,1.8594,14.117,0.0009895,6.4919,297.97
79.0,60,100,116,0.0,85.398,92.422,0.0001,100,1.1,0.002025,13.595,10.077,6.521,298.01
200.2,65,100,80,0.0,64.254,19.796,77.46,250,0.9,0.0013907,9.8848,32.86,6.5101,298.02
21.0,55,100,150,0.0,158.62,432.22,0.0001,0,0.7,0.037763,10.58,0.0009256,6.428,298.3
56.0,60,100,65,0.0,101.74,695.04,0.0048198,500,1.1,0.0017762,14.513,5.4349,6.4862,298.93
59.0,60,100,72,0.0,94.438,14.11,0.0001,500,1.1,0.0020012,14.268,6.2059,6.4961,297.99
8.2,42,100,15,0.0,46.136,108.62,0.0001,0,0.6,1.3229,12.482,0.00097806,6.501,298.1
198.8,75,100,90,0.0,44.949,11.166,101.29,150,0.9,0.0018608,11.275,30.191,6.5015,298.1
171.6,75,100,80,0.0,36.114,83.083,10.308,150,0.9,0.0018132,11.523,27.472,6.4648,298.04
257.2,60,100,80,0.0,15.021,29.534,0.72208,0,0.9,62.483,13.263,12.398,6.4864,297.87
70.0,60,100,84,0.0,62.608,48.848,6.7037,500,1.1,0.0011667,15.33,6.8609,6.4904,297.96
126.6,75,100,90,0.0,54.957,0.0001,12.586,100,1.0,0.00077549,11.734,21.322,6.5081,297.96
6.4,30,100,15,0.0,40.73,126.09,0.0001,0,0.6,1.2136,13.224,0.00098166,6.4749,298.16
230.0,65,100,80,0.0,45.417,29.788,7.0401,250,0.9,0.0015985,12.633,28.548,6.4955,297.87
34.8,55,100,43,0.0,36.83,122.82,0.0001,0,0.9,0.0029226,11.581,1.4752,6.4943,297.99
36.4,55,100,47,0.0,150.65,205.64,0.0001,0,0.9,0.0028202,12.809,1.8291,6.4894,298.02
117.4,75,100,90,0.0,51.733,0.20448,0.0001,100,1.0,0.00094297,12.24,16.877,6.4988,298.0
228.8,65,100,105,0.0,10.765,17.603,86.479,250,0.9,67.664,14.041,7.2728,6.5036,297.95
36.8,55,100,47,0.0,48.424,144.24,0.0001308,0,0.9,0.0027051,12.547,1.6543,6.5037,298.1
70.0,60,100,84,0.0,66.389,0.92073,13.322,500,1.1,0.0016185,15.152,8.5358,6.5057,297.96
111.2,75,100,90,0.0,102.91,72.719,0.0001,100,1.0,0.0013371,12.418,16.315,6.5058,297.96
223.6,65,100,80,0.0,68.261,1.0233,73.969,250,0.9,0.001415,12.479,30.139,6.4895,297.96
44.6,60,100,57,0.0,49.112,87.661,0.0001,0,1.1,0.0024891,12.656,3.4084,6.49,297.99
188.2,75,100,60,0.0,10.145,53.018,8.0494,150,0.9,25.238,11.521,18.215,6.5062,297.87
67.4,60,100,80,0.0,61.51,43.047,0.0001,500,1.1,0.0018794,14.871,8.2112,6.4962,298.01
186.8,75,100,80,0.0,39.971,11.591,58.983,150,0.9,0.0015269,11.2,27.7,6.5082,297.91
101.6,20,100,90,3.6223,0.58558,10.4,58.116,100,1.0,1.0394,11.113,11.543,6.7415,297.95
44.2,60,100,57,0.0,38.068,226.11,0.0019983,0,1.1,0.0021032,12.163,3.4964,6.4997,298.17
38.4,55,100,47,0.0,54.23,89.826,0.0001,0,0.9,0.0021671,11.167,2.252,6.5004,297.96
55.0,60,100,65,0.0,98.215,40.306,0.0001,500,1.1,0.0024039,13.247,4.9672,6.5085,298.0
10.0,42,100,15,0.0,29.476,109.68,0.0001,0,0.6,3.0511,12.879,0.00097355,6.4922,298.1
130.8,75,100,90,1.0395,17.703,4.3816,46.213,100,1.0,0.00063104,10.875,19.044,6.5341,298.02
182.0,75,100,80,0.0,47.641,53.522,8.2927,150,0.9,0.0012876,11.651,26.84,6.5043,297.86
55.8,60,100,65,0.0,60.947,59.293,0.0001,500,1.1,0.0021371,14.179,5.4407,6.4976,297.98
83.8,60,100,90,0.0,44.353,33.39,0.0001,100,1.1,0.0010658,14.217,10.79,6.4897,297.99
131.2,75,100,75,0.0,5.3598,15.433,0.42413,100,1.0,0.00075796,11.886,20.215,6.4719,297.94
59.2,60,100,72,0.0,107.25,46.019,0.0001,500,1.1,0.0025264,14.78,6.4288,6.4967,298.0
8.2,42,100,15,0.0,46.612,112.48,0.0001,0,0.6,1.2876,12.641,0.00097746,6.4995,298.11
147.2,75,100,90,0.0,52.879,13.961,68.289,100,1.0,0.00047858,13.462,22.627,6.5018,297.97
129.6,75,100,90,0.0,64.064,25.35,3.7472,100,1.0,0.00090688,12.818,20.107,6.5035,297.98
118.2,75,100,90,0.0,78.164,3.6391,0.0001,100,1.0,0.00086092,12.41,18.696,6.501,297.97
75.6,60,100,90,0.0,98.106,53.537,0.0001,100,1.1,0.0018314,14.225,6.4316,6.5007,298.14
96.6,75,100,90,0.0,63.685,24.906,0.0001,100,1.1,0.00093602,13.458,14.208,6.5024,297.99
212.2,65,100,105,4.1504,0.0,55.743,1.6208,250,0.9,39.968,14.372,18.12,6.6224,297.81
65.8,60,100,80,0.0,94.812,1500.0,0.0001,500,1.1,0.0016727,15.163,7.1017,6.4962,300.33
195.8,75,100,80,0.0,70.441,11.203,61.48,150,0.9,0.0017533,11.016,27.72,6.505,297.97
38.4,55,100,47,0.0,47.386,194.53,0.0001,0,0.9,0.0020317,12.346,2.1049,6.506,297.95
74.8,60,100,90,0.0,206.08,0.0001,0.010506,500,1.1,0.0018669,16.261,8.7124,6.5304,297.95
197.6,75,100,80,0.0,72.287,12.127,61.531,150,0.9,0.0016865,11.398,30.3,6.5006,297.95
213.4,65,100,120,7.7984,0.00096295,10.848,108.45,250,0.9,49.028,13.532,13.668,6.5439,298.08
39.0,55,100,47,0.0,63.203,320.76,21.093,0,0.9,0.0022408,11.575,2.2275,6.508,298.58
109.0,75,100,90,0.0,63.278,46.198,0.0001,100,1.0,0.0010694,12.444,16.932,6.5107,297.99
222.6,65,100,45,0.0,6.6248,33.553,125.22,250,0.9,39.768,12.519,14.709,6.5082,297.96
100.4,75,100,90,0.0,56.927,116.85,11.563,100,1.0,0.0009261,13.221,15.61,6.5407,298.18
50.0,60,100,61,0.0,128.62,93.127,0.0001,0,1.1,0.0022,11.002,4.8481,6.4918,297.99
57.4,60,100,72,0.0,101.63,50.02,0.0001,500,1.1,0.0023326,13.06,5.8535,6.494,298.0
69.8,60,100,84,0.0,150.16,0.0001,10.173,500,1.1,0.0016498,14.87,8.3163,6.5148,297.97
33.2,55,100,43,0.0,57.762,335.98,0.25216,0,0.9,0.0026298,12.951,1.1673,6.479,298.41
247.6,65,100,80,0.0,11.907,21.02,90.034,250,0.9,54.966,14.217,12.932,6.4971,298.07
141.8,75,100,90,0.0,53.678,6.1101,32.217,100,1.0,0.00085756,11.393,20.899,6.5073,297.99
48.6,60,100,61,0.0,225.0,132.98,0.0001,0,1.1,0.0022507,12.55,3.8603,6.4924,297.99
31.4,55,100,37,0.0,23.003,233.19,0.00024119,0,0.9,0.0027754,12.972,0.92537,6.4875,298.08
111.2,75,100,90,0.0,72.718,59.293,0.0001,100,1.0,0.00099002,11.214,17.534,6.508,298.05
38.2,55,100,47,0.0,44.34,88.257,0.0001,0,0.9,0.0024916,12.243,2.192,6.5,298.02
126.0,75,100,90,0.0,46.638,22.708,0.0001,100,1.0,0.00084855,11.183,18.263,6.4938,297.96
121.4,75,100,105,0.0,115.84,52.784,0.0001,100,1.0,0.0012437,10.668,17.216,6.5121,298.01
46.4,60,100,57,0.0,36.083,170.68,0.0001,0,1.1,0.0021545,12.926,3.7237,6.4967,298.04
114.6,75,100,90,0.0,55.666,10.829,0.0001,100,1.0,0.00087308,12.446,17.086,6.4949,297.98
56.4,60,100,72,0.0,105.9,60.407,0.0001,500,1.1,0.0021658,13.313,6.0441,6.5077,298.01
170.8,75,100,80,0.51852,0.0,41.785,6.8588,150,0.9,30.597,13.733,14.069,6.5795,297.88
113.6,75,100,90,0.0,52.358,4.5799,23.601,100,1.0,0.00079789,13.315,18.054,6.5047,297.96
192.8,75,100,80,0.0,42.609,0.83833,63.786,150,0.9,0.0014599,11.63,28.115,6.4736,297.97
25.4,55,100,30,1.5571,26.444,68.559,242.92,0,0.8,0.0033206,12.982,0.12197,6.5605,298.66
89.8,60,100,90,0.0,55.461,65.053,0.0001,100,1.1,0.0013508,13.874,12.231,6.5079,298.0
4.4,30,100,15,0.0,32.755,25.502,0.0001,0,0.6,1.8056,14.068,0.00099127,6.5208,298.04
90.2,75,100,90,0.0,63.846,24.984,0.0001,100,1.1,0.0009123,13.792,12.877,6.5038,297.99
12.8,42,100,30,0.0,70.92,176.46,0.0001,0,0.7,0.2577,12.616,0.00096318,6.4959,298.15
85.4,60,100,90,0.0,60.037,62.14,0.0001,100,1.1,0.0010996,13.8,9.7302,6.4939,297.98
67.0,60,100,80,0.0,86.681,29.732,0.0001,500,1.1,0.0019253,13.766,6.9789,6.4996,297.97
183.0,75,100,45,0.0,9.042,28.083,0.10282,150,0.9,15.331,14.059,18.284,6.4897,297.89
42.8,60,100,51,0.0,66.407,137.14,0.0001,0,1.1,0.0023475,12.802,2.7936,6.4901,298.02
161.8,75,100,80,0.0,12.248,124.94,15.589,400,0.9,25.495,14.203,15.178,6.5053,298.08
21.4,55,100,150,0.0,225.0,380.8,0.0001,0,0.7,0.04401,7.597,0.0009222,6.3773,298.25
35.6,55,100,43,0.0,67.491,573.78,0.0048781,0,0.9,0.0025518,12.483,1.4884,6.5052,298.48
30.2,55,100,37,0.0,168.44,288.86,0.0001,0,0.9,0.0028776,12.793,0.74569,6.4427,298.17
117.0,75,100,90,0.0,67.688,13.526,0.0001,100,1.0,0.00079389,11.046,16.796,6.5032,297.96
181.4,75,100,80,0.0,4.8796,1.9803,0.0001,150,0.9,52.173,12.493,7.6612,6.5016,297.85
205.2,65,100,80,0.0,56.939,9.7761,107.92,250,0.9,0.0013971,11.654,29.558,6.5095,298.07
130.2,75,100,90,0.0,87.748,0.61574,0.025755,100,1.0,0.0009723,12.612,19.798,6.5278,297.94
12.6,42,100,30,0.0,19.013,147.2,0.13476,0,0.7,0.012491,13.16,0.00096653,6.4503,298.09
101.6,75,100,90,0.0,43.284,58.719,0.0001,100,1.0,0.0013667,12.964,13.146,6.482,298.03
191.4,75,100,80,0.0,25.133,20.745,4.4536,150,0.9,0.0014686,9.49,31.564,6.4599,297.92
177.2,75,100,60,0.0,54.085,60.925,9.309,150,0.9,0.00094584,12.685,25.331,6.5017,297.99
4.6,30,100,15,0.0,27.96,34.211,0.0001,0,0.6,1.7252,13.719,0.00098839,6.4898,298.02
212.6,65,100,80,0.0,29.191,69.383,1.4993,250,0.9,0.0015841,11.741,30.045,6.4593,297.93
209.0,65,100,80,0.0,12.553,51.057,7.7668,250,0.9,58.136,14.176,11.228,6.4952,297.86
26.8,55,100,30,0.0,59.623,233.19,2.0027,0,0.8,0.0026171,12.569,0.32399,6.5429,298.14
206.8,65,100,80,0.0,29.007,3.1299,0.0001,250,0.9,0.0012579,11.01,31.512,6.5022,297.87
159.6,75,100,90,0.0,49.617,57.629,7.4336,0,0.9,0.00077829,9.0266,26.424,6.5168,298.02
55.2,60,100,65,0.0,50.064,28.524,0.0001,500,1.1,0.0020705,14.438,5.5561,6.4957,298.0
111.2,75,100,90,0.0,69.51,18.583,0.0001,100,1.0,0.00089612,11.594,15.402,6.5078,297.99
135.8,75,100,90,0.0,65.432,0.0001,0.10469,100,1.0,0.00087559,12.49,20.821,6.4997,297.94
183.2,75,100,80,0.0,95.558,22.717,93.013,150,0.9,0.001067,10.982,26.076,6.5114,298.07
94.0,75,100,90,0.0,100.55,69.928,6.6062,100,1.1,0.00085687,13.262,12.372,6.4947,298.07
16.0,42,100,30,0.0,20.928,223.78,0.0001,0,0.7,0.0097697,13.051,0.00095223,6.5246,298.0
111.4,75,100,90,0.0,61.64,29.369,0.0001,100,1.0,0.0010966,11.601,17.11,6.5014,298.0
128.2,75,100,75,0.0,61.565,10.091,83.818,100,1.0,0.00029751,11.53,15.99,6.4963,298.06
110.4,75,100,90,0.0,82.635,125.41,0.0013911,100,1.0,0.00079278,13.247,17.558,6.5058,298.06
59.8,60,100,72,0.0,44.496,42.408,0.0001,500,1.1,0.0017046,14.54,5.8352,6.5074,298.0
147.4,75,100,90,0.0,56.839,6.3701,42.301,100,1.0,0.00057173,13.012,24.698,6.5113,297.95
204.4,65,100,80,0.0,72.911,1.2839,77.15,250,0.9,0.0015161,9.8295,33.246,6.5055,297.98
101.4,75,100,90,0.0,26.604,181.41,0.0001,100,1.0,0.0010631,12.456,13.039,6.4741,298.03
164.6,75,100,80,0.0,225.0,126.48,16.874,400,0.9,1.4912,14.57,24.699,5.6765,298.08
168.2,75,100,80,0.0,20.592,125.99,17.438,400,0.9,8.953,12.644,19.582,6.49,298.04
80.2,60,100,90,0.0,90.154,88.444,0.0001,100,1.1,0.0011956,13.638,10.574,6.5157,297.91
238.4,65,100,80,0.0,8.5191,241.64,24.115,250,0.9,102.14,14.794,3.5474,6.4853,298.06
144.0,75,100,90,0.0,37.109,2.5356,20.538,100,1.0,0.00099635,10.791,22.893,6.4976,297.98
7.8,30,100,15,0.0,41.22,124.26,0.0001,0,0.6,1.4263,13.0,0.00097928,6.4945,298.11
149.8,75,100,90,0.0,10.017,64.593,10.338,100,1.0,16.185,14.24,15.999,6.5045,297.94
55.4,60,100,65,0.0,69.158,12.622,0.0001,500,1.1,0.0018901,14.175,6.323,6.4973,297.97
211.6,65,100,60,2.5935,0.0,36.777,7.1441,250,0.9,14.788,12.04,21.231,6.6338,297.92
44.0,60,100,51,0.0,49.817,259.48,0.0001,0,1.1,0.0025409,12.77,3.3094,6.5011,298.01
14.6,42,100,30,0.0,7.2183,381.84,2.8578,0,0.7,0.011426,13.263,0.00095718,6.4923,298.48
182.6,75,100,80,0.0,67.351,38.548,6.0239,150,0.9,0.0015012,11.285,28.421,6.502,297.92
110.4,75,100,90,0.0,42.773,0.0001,0.011022,100,1.0,0.00088991,12.41,16.104,6.4966,297.95
82.0,60,100,90,0.0,90.273,69.134,6.0355,100,1.1,0.0010945,13.786,10.562,6.4589,298.08
105.2,75,100,90,0.0,66.459,61.923,0.0001,100,1.0,0.0014073,11.118,16.654,6.4989,298.0
57.8,60,100,72,0.0,60.779,38.87,0.0001,500,1.1,0.001575,14.288,5.8853,6.4935,298.0
159.4,75,100,90,0.0,40.091,34.632,0.74747,0,0.9,0.00081342,10.485,23.774,6.5088,297.95
188.6,75,100,80,0.0,47.23,2.0761,0.0001,150,0.9,0.0013694,11.767,30.437,6.5049,297.89
201.6,65,100,80,0.0,82.366,1.0771,72.495,250,0.9,0.0015108,9.8703,32.995,6.4977,297.96
105.8,75,100,90,0.0,102.67,210.75,0.0001,100,1.0,0.00089202,13.238,16.735,6.4896,298.16
3.2,30,100,15,0.0,13.501,25.87,0.0046675,0,0.6,1.6134,14.332,0.00099215,6.5194,297.95
173.8,75,100,80,0.0,22.496,35.356,5.7867,150,0.9,0.00086253,10.986,26.812,6.5153,297.94
158.0,75,100,90,0.0,45.866,24.404,0.71669,0,0.9,0.00071657,10.457,23.882,6.5105,297.91
158.4,75,100,90,0.0,39.56,1.0467,16.163,0,0.9,0.00084437,9.4613,25.515,6.4932,297.96
108.8,75,100,90,0.0,67.49,32.838,0.0001,100,1.0,0.00085932,11.446,15.221,6.5165,297.99
220.0,65,100,80,0.0,15.049,7.7422,0.0001,250,0.9,82.037,13.714,6.8636,6.5144,297.75
8.0,30,100,15,0.0,20.648,54.512,0.0001,0,0.6,3.175,13.467,0.00097919,6.5039,298.06
165.2,75,100,60,0.0,54.408,63.871,10.477,400,0.9,0.00084014,13.155,24.293,6.5101,297.95
13.6,42,100,30,0.0,27.314,80.906,0.0001,0,0.7,0.010225,13.481,0.00096213,6.5435,297.96
60.4,60,100,76,0.0,90.109,23.871,0.0001,500,1.1,0.0020417,15.139,6.3766,6.4988,297.99
218.0,65,100,80,0.0,58.077,64.985,1.4374,250,0.9,0.00156,11.381,27.846,6.511,297.9
237.8,65,100,80,0.0,54.035,95.111,12.85,250,0.9,0.0017581,11.71,33.988,6.5011,298.03
73.2,60,100,90,0.0,116.1,18.789,0.0001,500,1.1,0.0018218,14.455,9.532,6.4964,298.0
158.4,75,100,90,0.0,225.0,15.572,3.842,0,0.9,0.00099943,12.25,20.833,6.4945,297.92
150.8,75,100,90,0.0,0.0,65.743,8.4273,0,0.9,0.0005738,9.1809,24.777,6.5116,298.04
202.4,65,100,80,0.0,16.625,96.959,10.988,250,0.9,53.842,14.084,11.753,6.514,298.0
128.4,75,100,90,0.0,45.275,52.444,0.0001,100,1.0,0.0011242,11.685,18.125,6.499,298.0
144.2,75,100,90,0.0,63.019,12.144,2.9683,100,1.0,0.00071316,12.056,21.256,6.4904,297.92
118.0,75,100,90,0.0,46.338,85.096,8.0589,100,1.0,0.00098918,12.248,17.988,6.512,298.12
138.0,75,100,90,0.0,17.257,137.83,16.45,100,1.0,38.483,14.479,6.7246,6.5045,298.07
